lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,, 
1,ConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
2,DeciduousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
3,DeciduousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
4,DeciduousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
5,DeciduousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
6,DeciduousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,
7,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
8,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
9,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
10,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,
11,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,,,,,,
12,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,,,,,,
13,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
14,AgriculturalVegetation,39.45,19.85,0.25,0.74,150,150,0,,,,,,,
15,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,
16,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
17,WaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
18,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,
